feature,label,n_real,shapiro_W,shapiro_p,is_normal_05
AGE,Age (years),4363,0.9915905799074437,2.0865871059623712e-15,False
PTEDUCAT,Education (years),4346,0.9334598676906294,2.4779472179965794e-40,False
CATANIMSC,Animal Fluency (raw),3889,0.7370083749308116,1.4617545389573064e-61,False
TRAASCOR,Trail Making A (sec),3806,0.20837864869209755,1.8936713111708596e-83,False
TRABSCOR,Trail Making B (sec),3763,0.43817476032576586,7.510136728587404e-76,False
DSPANFOR,Digit Span Forward,1004,0.9624222845356598,2.09166963588564e-15,False
DSPANBAC,Digit Span Backward,999,0.9634690660369143,4.03455357520259e-15,False
BNTTOTAL,Boston Naming,1014,0.7302940968051896,1.3987137464340868e-37,False
BMI,BMI,3614,0.9258532084356126,5.009909904439578e-39,False
VSWEIGHT,Weight (kg),3333,0.9494908641460053,2.0145460582431312e-32,False
mmse_score,MMSE score,641,0.8721855610303091,1.720295727108635e-22,False
