feature,label,type,n_real_cn,n_real_ad,n_imputed_excluded,real_pct,effect_global,lb95,ub95,p_global,weighted_intra,decay,decay_class,p_inter_cohorte
AGE,Age (years),continuous,3415,948,3,99.93128721942281,0.3355866708675427,0.2949120750474143,0.37573183275571287,1.766815134760058e-56,0.24377162410467246,0.09181504676287022,ambigu,1.377056251002157e-48
PTGENDER,"Gender (1=M, 2=F)",binary,3417,949,0,100.0,0.12134270068305682,,,1.076509968527779e-15,0.13202192066054047,-0.010679219977483653,intrinsèque,
PTEDUCAT,Education (years),continuous,3401,945,20,99.54191479615208,-0.1579314518450068,-0.19836531894603052,-0.1165832644927029,3.316174975387066e-14,0.13775293586208137,0.020178515982925416,intrinsèque,2.113426820157798e-10
PTMARRY,Marital status,categorical,3392,943,31,99.28996793403573,-0.15493007062966435,-0.18362228542237746,-0.12520738397627001,8.167255134885369e-19,0.14659843937847714,0.008331631251187216,intrinsèque,9.887633510007229e-08
CATANIMSC,Animal Fluency (raw),continuous,3076,813,477,89.07466788822721,-0.7103980825243883,-0.7451175089611755,-0.6805948964886268,3.87549183911555e-214,0.7067735850311783,0.0036244974932100327,intrinsèque,1.8703740033167065e-31
TRAASCOR,Trail Making A (sec),continuous,3018,788,560,87.17361429225836,0.6455480316073104,0.6059605669704279,0.6777006531033763,5.443801235187761e-172,0.6749671194754046,-0.029419087868094107,intrinsèque,8.959480671784298e-20
TRABSCOR,Trail Making B (sec),continuous,2989,774,603,86.18873110398533,0.7275881505226311,0.6940077441575182,0.761224241253243,2.4789160366035925e-214,0.7771154318961803,-0.049527281373549115,ambigu,4.979345819126541e-14
DSPANFOR,Digit Span Forward,continuous,676,328,3362,22.99587723316537,-0.3020547698080531,-0.3659412658753067,-0.232422269627652,4.2144878686514975e-15,0.26599524036210664,0.03605952944594648,intrinsèque,3.3363855661678893e-35
DSPANBAC,Digit Span Backward,continuous,676,323,3367,22.88135593220339,-0.4571143312510304,-0.5200155256746112,-0.39002406708556986,3.7839990311082166e-32,0.48108801804546236,-0.02397368679443196,intrinsèque,2.082668457468295e-38
BNTTOTAL,Boston Naming,continuous,675,339,3352,23.224919835089327,-0.36575549000327756,-0.44030492734622523,-0.284062165410248,6.972604354106768e-22,0.434349059397583,-0.06859356939430544,ambigu,7.551874914675371e-89
BMI,BMI,continuous,3007,607,752,82.77599633531837,-0.09029233819604876,-0.14237620456167896,-0.03513168614254815,0.00044116525841204386,0.09923317983456378,-0.008940841638515024,intrinsèque,0.004345797284352272
VSWEIGHT,Weight (kg),continuous,2586,747,1033,76.33989922125515,-0.10960418109664749,-0.15652680326875945,-0.059787357732036785,4.880707485705892e-06,0.05886513227865561,0.05073904881799188,ambigu,1.10064047794428e-28
MH14ALCH,Alcohol use,binary,3206,880,280,93.58680714612917,0.0024377004317968644,,,0.8761731193467632,0.011383828631240236,-0.008946128199443371,intrinsèque,
MH16SMOK,Smoking,binary,3197,877,292,93.31195602382043,0.1547173057183043,,,5.328408484478792e-23,0.014837978166633663,0.13987932755167065,FORTUIT (Simpson),
MH4CARD,Cardiovascular hist.,binary,3211,879,276,93.67842418689877,0.2939404304415398,,,7.782298287685951e-79,0.015863545051014873,0.2780768853905249,FORTUIT (Simpson),
MH2NEURL,Neurological hist.,binary,1143,478,2745,37.12780577187357,0.2639760281196999,,,2.2053889206790409e-26,0.05267772988871479,0.21129829823098512,FORTUIT (Simpson),
mmse_score,MMSE score,continuous,303,338,3725,14.6816307833257,-0.9473021266623705,-0.9647269904505243,-0.9268295838459585,3.0107966375233564e-96,0.9473021266623705,0.0,intrinsèque,
