feature,effect_global,weighted_intra,decay,decay_class
MH4CARD,0.2935818462688359,0.027590472288803805,0.2659913739800321,FORTUIT (Simpson)
MH2NEURL,0.23672772198638117,0.01007495225969116,0.22665276972669002,FORTUIT (Simpson)
MH16SMOK,0.15424513103531615,0.024167403770380798,0.13007772726493536,FORTUIT (Simpson)
AGE,0.32737210494776703,0.2173941520554456,0.10997795289232143,ambigu
BNTTOTAL,-0.3785874962002229,0.44877695513530225,-0.07018945893507933,ambigu
DSPANFOR,-0.31559686440854184,0.2722188156313821,0.04337804877715973,ambigu
PTEDUCAT,-0.17571307118099355,0.13873036406219277,0.03698270711880078,intrinsèque
TRABSCOR,0.7474761319595424,0.7821065897855574,-0.034630457826014927,intrinsèque
VSWEIGHT,-0.1163514994115975,0.08522997361655309,0.031121525795044416,intrinsèque
DSPANBAC,-0.45065782553633715,0.4748219528101249,-0.02416412727378775,intrinsèque
TRAASCOR,0.6494147383624711,0.6699421585217463,-0.020527420159275223,intrinsèque
BMI,-0.12666942239042012,0.13854453107615994,-0.011875108685739821,intrinsèque
CATANIMSC,-0.7145831772659574,0.7203226714982095,-0.005739494232252063,intrinsèque
MH14ALCH,0.01592834521411668,0.019624630462035515,-0.0036962852479188353,intrinsèque
PTGENDER,0.1185880993522786,0.12223978030697376,-0.0036516809546951606,intrinsèque
PTMARRY,-0.14864613780788294,0.1491806602371058,-0.0005345224292228612,intrinsèque
mmse_score,-0.9509736351188671,0.9509736351188671,0.0,intrinsèque
