feature,test_key,p_raw,p_holm,sig_raw,sig_corr
AGE,p_global,2.7221034211936415e-60,1.44271481323263e-58,*,*
AGE,cohort:ADNI,5.964815924129328e-10,1.9683892549626783e-08,*,*
AGE,cohort:NACC,3.1119916969211348e-09,9.958373430147631e-08,*,*
AGE,cohort:OASIS,2.592929891078592e-22,1.1927477498961523e-20,*,*
PTGENDER,p_global,7.674954274814649e-12,2.686233996185127e-10,*,*
PTGENDER,cohort:ADNI,0.0006335963541471405,0.01520631249953137,*,*
PTGENDER,cohort:NACC,3.420710384810727e-09,1.0604202192913253e-07,*,*
PTGENDER,cohort:OASIS,0.02287423706344068,0.4346105042053729,*, 
PTEDUCAT,p_global,1.8255879921886387e-15,7.484910767973419e-14,*,*
PTEDUCAT,cohort:ADNI,3.385023982267978e-11,1.1509081539711125e-09,*,*
PTEDUCAT,cohort:NACC,0.0007316522551460349,0.016096349613212768,*,*
PTEDUCAT,cohort:OASIS,0.04204423352052328,0.7147519698488958,*, 
PTMARRY,p_global,7.154468222408402e-18,3.147966017859697e-16,*,*
PTMARRY,cohort:ADNI,0.0003263903774865244,0.008486149814649634,*,*
PTMARRY,cohort:NACC,3.4594462171290077e-12,1.2454006381664428e-10,*,*
PTMARRY,cohort:OASIS,0.5073902153929912,1.0, , 
CATANIMSC,p_global,1.4242065851790756e-206,8.687660169592362e-205,*,*
CATANIMSC,cohort:ADNI,2.569624126250461e-49,1.3362045456502396e-47,*,*
CATANIMSC,cohort:NACC,3.83858571873902e-115,2.2263797168686316e-113,*,*
CATANIMSC,cohort:OASIS,4.1521882018959816e-14,1.6608752807583926e-12,*,*
TRAASCOR,p_global,3.131520560305845e-163,1.878912336183507e-161,*,*
TRAASCOR,cohort:ADNI,1.8165768792146258e-33,9.082884396073129e-32,*,*
TRAASCOR,cohort:NACC,1.3643982130194551e-101,7.777069814210894e-100,*,*
TRAASCOR,cohort:OASIS,5.806947324743071e-13,2.206639983402367e-11,*,*
TRABSCOR,p_global,5.1171728066664336e-211,3.172647140133189e-209,*,*
TRABSCOR,cohort:ADNI,9.436636485415459e-48,4.812684607561884e-46,*,*
TRABSCOR,cohort:NACC,5.302236515743627e-142,3.1283195442887396e-140,*,*
TRABSCOR,cohort:OASIS,7.934886714948717e-14,3.0946058188299995e-12,*,*
DSPANFOR,p_global,5.737143708033385e-17,2.4096003573740216e-15,*,*
DSPANFOR,cohort:ADNI,3.985803891643182e-06,0.00011160250896600909,*,*
DSPANFOR,cohort:OASIS,0.06388416189035324,1.0, , 
DSPANBAC,p_global,2.820504916059374e-31,1.3820474088690932e-29,*,*
DSPANBAC,cohort:ADNI,1.4196149766837052e-12,5.2525754137297096e-11,*,*
DSPANBAC,cohort:OASIS,1.0195613116116424e-06,2.956727803673763e-05,*,*
BNTTOTAL,p_global,2.150632469188717e-28,1.0323035852105842e-26,*,*
BNTTOTAL,cohort:ADNI,4.811923167582643e-17,2.0691269620605365e-15,*,*
BNTTOTAL,cohort:OASIS,0.00012475523574980837,0.003368391365244826,*,*
BMI,p_global,0.0006372207254510954,0.01520631249953137,*,*
BMI,cohort:ADNI,0.7491788229959403,1.0, , 
BMI,cohort:NACC,0.000594796617234262,0.014869915430856551,*,*
BMI,cohort:OASIS,0.00804177290404061,0.16887723098485283,*, 
VSWEIGHT,p_global,5.326802424833515e-07,1.5980407274500545e-05,*,*
VSWEIGHT,cohort:ADNI,0.8238422654243933,1.0, , 
VSWEIGHT,cohort:NACC,0.03655839607047893,0.6580511292686207,*, 
VSWEIGHT,cohort:OASIS,0.31968436062287775,1.0, , 
MH14ALCH,p_global,0.8219348326930072,1.0, , 
MH14ALCH,cohort:ADNI,0.24477382081936733,1.0, , 
MH14ALCH,cohort:NACC,0.6296772531719707,1.0, , 
MH14ALCH,cohort:OASIS,0.7316372635353665,1.0, , 
MH16SMOK,p_global,2.5556924324342564e-26,1.2011754432441004e-24,*,*
MH16SMOK,cohort:ADNI,0.4197711689539806,1.0, , 
MH16SMOK,cohort:NACC,0.15092227421073132,1.0, , 
MH16SMOK,cohort:OASIS,0.9616691348146529,1.0, , 
MH4CARD,p_global,4.519600867000758e-79,2.4405844681804093e-77,*,*
MH4CARD,cohort:ADNI,0.5593046346006285,1.0, , 
MH4CARD,cohort:NACC,1.0,1.0, , 
MH4CARD,cohort:OASIS,0.01459120813655914,0.29182416273118283,*, 
MH2NEURL,p_global,5.810604927225689e-21,2.6147722172515603e-19,*,*
MH2NEURL,cohort:ADNI,0.69384621252986,1.0, , 
MH2NEURL,cohort:OASIS,1.0,1.0, , 
mmse_score,p_global,2.4621852815303714e-100,1.378823757657008e-98,*,*
mmse_score,cohort:ADNI,2.4621852815303714e-100,1.378823757657008e-98,*,*
