feature,test_key,p_raw,p_holm,sig_raw,sig_corr
AGE,p_global,7.799889193547381e-54,4.133941272580112e-52,*,*
AGE,cohort:ADNI,3.282669664298241e-10,1.0832809892184196e-08,*,*
AGE,cohort:NACC,1.0995090112036167e-05,0.00028587234291294034,*,*
AGE,cohort:OASIS,3.184471433106528e-24,1.496701573560068e-22,*,*
PTGENDER,p_global,4.658915579749724e-15,1.9101553876973868e-13,*,*
PTGENDER,cohort:ADNI,3.8115488191912315e-07,1.1434646457573695e-05,*,*
PTGENDER,cohort:NACC,7.509691262200094e-11,2.553295029148032e-09,*,*
PTGENDER,cohort:OASIS,0.07219928466205146,1.0, , 
PTEDUCAT,p_global,3.1348300577765596e-17,1.3479769248439205e-15,*,*
PTEDUCAT,cohort:ADNI,1.0249197154518475e-08,3.279743089445912e-07,*,*
PTEDUCAT,cohort:NACC,0.00019158083619203722,0.0040231975600327815,*,*
PTEDUCAT,cohort:OASIS,0.0026807097504298097,0.050933485258166385,*, 
PTMARRY,p_global,1.5887345933895985e-17,6.990432210914234e-16,*,*
PTMARRY,cohort:ADNI,9.387528378248436e-05,0.0022530068107796245,*,*
PTMARRY,cohort:NACC,4.715185468440379e-13,1.7446186233229403e-11,*,*
PTMARRY,cohort:OASIS,0.624620152359998,1.0, , 
CATANIMSC,p_global,2.5139506958686988e-216,1.5335099244799064e-214,*,*
CATANIMSC,cohort:ADNI,2.285229509681507e-48,1.1654670499375687e-46,*,*
CATANIMSC,cohort:NACC,2.0429529874431317e-129,1.1849127327170163e-127,*,*
CATANIMSC,cohort:OASIS,9.711465849933484e-14,3.787471681474059e-12,*,*
TRAASCOR,p_global,2.892883412126137e-175,1.7357300472756822e-173,*,*
TRAASCOR,cohort:ADNI,3.3245985738136176e-34,1.662299286906809e-32,*,*
TRAASCOR,cohort:NACC,1.9848436245265277e-111,1.131360865980121e-109,*,*
TRAASCOR,cohort:OASIS,1.0127102280049048e-13,3.848298866418638e-12,*,*
TRABSCOR,p_global,1.4765736145442632e-227,9.154756410174433e-226,*,*
TRABSCOR,cohort:ADNI,5.1017163994897275e-52,2.652892527734658e-50,*,*
TRABSCOR,cohort:NACC,1.9535294241139648e-150,1.1525823602272392e-148,*,*
TRABSCOR,cohort:OASIS,1.0330088783556908e-12,3.6155310742449176e-11,*,*
DSPANFOR,p_global,5.3158124032821773e-17,2.2326412093785146e-15,*,*
DSPANFOR,cohort:ADNI,1.0076138519934365e-06,2.8213187855816222e-05,*,*
DSPANFOR,cohort:OASIS,0.0697729261246829,1.0, , 
DSPANBAC,p_global,1.068097582106729e-32,5.2336781523229725e-31,*,*
DSPANBAC,cohort:ADNI,5.883166904196559e-13,2.1179400855107614e-11,*,*
DSPANBAC,cohort:OASIS,2.244700313560892e-08,6.958570972038765e-07,*,*
BNTTOTAL,p_global,3.0770841093435408e-24,1.4770003724848995e-22,*,*
BNTTOTAL,cohort:ADNI,3.6448738834797183e-14,1.4579495533918872e-12,*,*
BNTTOTAL,cohort:OASIS,0.00015938223194967956,0.00350640910289295,*,*
BMI,p_global,8.730023795248864e-07,2.5317069006221705e-05,*,*
BMI,cohort:ADNI,0.3093990128018327,1.0, , 
BMI,cohort:NACC,0.00013914472983989962,0.003200328786317691,*,*
BMI,cohort:OASIS,8.38872160007938e-05,0.002097180400019845,*,*
VSWEIGHT,p_global,1.0321348443660447e-06,2.8213187855816222e-05,*,*
VSWEIGHT,cohort:ADNI,0.046869649965599974,0.7967840494151995,*, 
VSWEIGHT,cohort:NACC,0.0615088385875613,0.9841414174009808, , 
VSWEIGHT,cohort:OASIS,0.009729035186662802,0.17512263335993045,*, 
MH14ALCH,p_global,0.3079473725705558,1.0, , 
MH14ALCH,cohort:ADNI,0.11935833062835785,1.0, , 
MH14ALCH,cohort:NACC,0.5438760471074962,1.0, , 
MH14ALCH,cohort:OASIS,0.5580618561159174,1.0, , 
MH16SMOK,p_global,5.794622601010631e-23,2.66552639646489e-21,*,*
MH16SMOK,cohort:ADNI,0.6318963555044876,1.0, , 
MH16SMOK,cohort:NACC,0.11567414303558593,1.0, , 
MH16SMOK,cohort:OASIS,0.8882043962464511,1.0, , 
MH4CARD,p_global,6.835185061997803e-79,3.690999933478813e-77,*,*
MH4CARD,cohort:ADNI,0.9553816163834822,1.0, , 
MH4CARD,cohort:NACC,0.6480864131623305,1.0, , 
MH4CARD,cohort:OASIS,0.001393794152658418,0.027875883053168363,*,*
MH2NEURL,p_global,3.8876702773373787e-22,1.7494516248018204e-20,*,*
MH2NEURL,cohort:ADNI,0.5653635470125897,1.0, , 
MH2NEURL,cohort:OASIS,1.0,1.0, , 
mmse_score,p_global,2.709593070494036e-100,1.51737211947666e-98,*,*
mmse_score,cohort:ADNI,2.709593070494036e-100,1.51737211947666e-98,*,*
