feature,label,type,n_real_cn,n_real_ad,n_imputed_excluded,real_pct,effect_global,lb95,ub95,p_global,weighted_intra,decay,decay_class,p_inter_cohorte
AGE,Age (years),continuous,3415,948,3,99.93128721942281,0.32737210494776703,0.2892894419012671,0.36537478146178126,7.799889193547381e-54,0.2173941520554456,0.10997795289232143,ambigu,1.4433717844187885e-58
PTGENDER,"Gender (1=M, 2=F)",binary,3417,949,0,100.0,0.1185880993522786,,,4.658915579749724e-15,0.12223978030697376,-0.0036516809546951606,intrinsèque,
PTEDUCAT,Education (years),continuous,3398,945,23,99.4732020155749,-0.17571307118099355,-0.2165137211120142,-0.13312544571814738,3.1348300577765596e-17,0.13873036406219277,0.03698270711880078,intrinsèque,8.566452877292644e-13
PTMARRY,Marital status,categorical,3398,944,24,99.4502977553825,-0.14864613780788294,-0.17774227393232317,-0.11671688418411634,1.5887345933895985e-17,0.1491806602371058,-0.0005345224292228612,intrinsèque,4.258494740919639e-05
CATANIMSC,Animal Fluency (raw),continuous,3054,813,499,88.5707741639945,-0.7145831772659574,-0.7454711059880736,-0.6831890868024594,2.5139506958686988e-216,0.7203226714982095,-0.005739494232252063,intrinsèque,8.622259490735979e-28
TRAASCOR,Trail Making A (sec),continuous,3006,796,564,87.08199725148877,0.6494147383624711,0.6126655399418918,0.6816778712257228,2.892883412126137e-175,0.6699421585217463,-0.020527420159275223,intrinsèque,3.867609988751874e-24
TRABSCOR,Trail Making B (sec),continuous,2980,781,605,86.14292258360055,0.7474761319595424,0.7185101380092637,0.7741328876247111,1.4765736145442632e-227,0.7821065897855574,-0.034630457826014927,intrinsèque,1.8387654082449065e-17
DSPANFOR,Digit Span Forward,continuous,697,345,3324,23.86623912047641,-0.31559686440854184,-0.3809029380575135,-0.2428243195475433,5.3158124032821773e-17,0.2722188156313821,0.04337804877715973,ambigu,3.3014290015324785e-37
DSPANBAC,Digit Span Backward,continuous,697,341,3328,23.774622079706827,-0.45065782553633715,-0.514978205716161,-0.39118099353324043,1.068097582106729e-32,0.4748219528101249,-0.02416412727378775,intrinsèque,1.0271762529272945e-40
BNTTOTAL,Boston Naming,continuous,695,355,3316,24.049473202015577,-0.3785874962002229,-0.4477657310771102,-0.3019250177322931,3.0770841093435408e-24,0.44877695513530225,-0.07018945893507933,ambigu,4.066460867765077e-93
BMI,BMI,continuous,3021,603,742,83.00503893724233,-0.12666942239042012,-0.1702394597683545,-0.07299953394233735,8.730023795248864e-07,0.13854453107615994,-0.011875108685739821,intrinsèque,0.005549730715134434
VSWEIGHT,Weight (kg),continuous,2594,760,1012,76.82088868529546,-0.1163514994115975,-0.15971089660349796,-0.0686146801322891,1.0321348443660447e-06,0.08522997361655309,0.031121525795044416,intrinsèque,9.74698001096585e-29
MH14ALCH,Alcohol use,binary,3203,894,269,93.83875400824553,0.01592834521411668,,,0.3079473725705558,0.019624630462035515,-0.0036962852479188353,intrinsèque,
MH16SMOK,Smoking,binary,3197,895,274,93.72423270728355,0.15424513103531615,,,5.794622601010631e-23,0.024167403770380798,0.13007772726493536,FORTUIT (Simpson),
MH4CARD,Cardiovascular hist.,binary,3209,894,263,93.9761795693999,0.2935818462688359,,,6.835185061997803e-79,0.027590472288803805,0.2659913739800321,FORTUIT (Simpson),
MH2NEURL,Neurological hist.,binary,1175,495,2696,38.25011452130096,0.23672772198638117,,,3.8876702773373787e-22,0.01007495225969116,0.22665276972669002,FORTUIT (Simpson),
mmse_score,MMSE score,continuous,321,339,3706,15.116811726981219,-0.9509736351188671,-0.9689498157490879,-0.932781269815014,2.709593070494036e-100,0.9509736351188671,0.0,intrinsèque,
