feature,effect_global,weighted_intra,decay,decay_class
MH4CARD,0.3077254605715989,0.022439332668397302,0.28528612790320157,FORTUIT (Simpson)
MH2NEURL,0.2496483564581666,0.010638562967977895,0.23900979349018872,FORTUIT (Simpson)
MH16SMOK,0.13714154682877314,0.01719126140819605,0.11995028542057709,ambigu
AGE,0.3167970277911185,0.2244053141150289,0.09239171367608962,ambigu
BNTTOTAL,-0.3809196255838039,0.4437741784747795,-0.06285455289097563,ambigu
TRABSCOR,0.7348174104581434,0.7861327912976532,-0.05131538083950982,ambigu
DSPANFOR,-0.32287342319960244,0.28894189803208037,0.03393152516752207,intrinsèque
VSWEIGHT,-0.1054881451340266,0.0737876422772622,0.0317005028567644,intrinsèque
TRAASCOR,0.6331621093628097,0.6632878400914329,-0.030125730728623235,intrinsèque
BMI,-0.1187826443939215,0.14224029499815066,-0.023457650604229163,intrinsèque
PTEDUCAT,-0.1836803411738932,0.16281349643224546,0.02086684474164774,intrinsèque
MH14ALCH,0.002047808723142135,0.014914216167630301,-0.012866407444488167,intrinsèque
CATANIMSC,-0.7100160563650306,0.7202292455232931,-0.010213189158262526,intrinsèque
PTMARRY,-0.15542063927076843,0.14536887095197215,0.010051768318796284,intrinsèque
DSPANBAC,-0.4367091932609424,0.4293365291652737,0.007372664095668668,intrinsèque
PTGENDER,0.11906563779038731,0.11232055192982025,0.00674508586056706,intrinsèque
mmse_score,-0.9566543502509761,0.9566543502509761,0.0,intrinsèque
