feature,label,n_real,shapiro_W,shapiro_p,is_normal_05
AGE,Age (years),4362,0.9892584912983307,1.0466616030971561e-17,False
PTEDUCAT,Education (years),4348,0.9351262781937666,5.875513639246677e-40,False
CATANIMSC,Animal Fluency (raw),3887,0.7272465481989632,3.095921762699306e-62,False
TRAASCOR,Trail Making A (sec),3818,0.2079647770340689,1.5389899769896785e-83,False
TRABSCOR,Trail Making B (sec),3773,0.4356709549806199,5.253362773074168e-76,False
DSPANFOR,Digit Span Forward,1057,0.9638342674458956,1.5478122583721855e-15,False
DSPANBAC,Digit Span Backward,1054,0.9647159969519971,2.674926079573136e-15,False
BNTTOTAL,Boston Naming,1066,0.7276473809693251,1.697215319871052e-38,False
BMI,BMI,3596,0.916753988091748,1.1270589479118258e-40,False
VSWEIGHT,Weight (kg),3354,0.9523358678598399,9.699502441903707e-32,False
mmse_score,MMSE score,678,0.8686103312735123,2.0562608683506582e-23,False
